year,origin,destination,migrant_stock
2000,CAN,BOL,1672
2000,CAN,BRA,1229
2000,CAN,BRB,791
2000,CAN,BTN,23
2000,CAN,BWA,106
2000,CAN,CHE,9436
2000,CAN,CHL,1659
2000,CAN,CHN,13747
2000,CAN,COL,746
2000,CAN,CRI,1074
2000,CAN,CUB,64
2000,CAN,CUW,92
2000,CAN,CYP,684
2000,CAN,CZE,456
2000,CAN,DMA,105
2000,CAN,DNK,2763
2000,CAN,DOM,4351
2000,CAN,ECU,947
2000,CAN,EGY,686
2000,CAN,EST,60
2000,CAN,FIN,993
2000,CAN,GAB,151
2000,CAN,GBR,71889
2000,CAN,GHA,164
2000,CAN,GIN,239
2000,CAN,GNB,58
2000,CAN,GRC,12366
2000,CAN,GRD,205
2000,CAN,GTM,251
2000,CAN,GUY,202
2000,CAN,HKG,15273
2000,CAN,HND,259
2000,CAN,HRV,413
2000,CAN,HTI,566
2000,CAN,HUN,1422
2000,CAN,IND,2122
2000,CAN,IRL,4633
